stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9022050043591002,Hassmyra södra,59.870837,16.373033,0,43591,B
9022050043592001,Springargruvan,60.006143,16.642860,0,43592,A
9022050043592002,Springargruvan,60.005982,16.642695,0,43592,B
9022050043593001,Kilbo skola,60.019778,16.288269,0,43593,A
9022050043594001,Åby skola,59.982827,16.639352,0,43594,A
9022050043595001,Stutbo,60.042918,16.238972,0,43595,A
9022050043595002,Stutbo,60.042980,16.239045,0,43595,B
9022050043596001,Häggebäcken,60.050295,16.231045,0,43596,A
9022050043596002,Häggebäcken,60.050267,16.231386,0,43596,B
9022050043597001,Gullbo,60.063684,16.234593,0,43597,A
9022050043598001,Nilsbyn,60.075664,16.229611,0,43598,A
9022050043599001,Johannelund,60.045895,16.223111,0,43599,A
9022050043599002,Johannelund,60.045806,16.222948,0,43599,B
9022050043600001,Stora Matsbo,60.028126,16.210708,0,43600,A
9022050043600002,Stora Matsbo,60.028026,16.210940,0,43600,B
9022050043601001,"Kärrvägen, Brobacke",60.024313,16.328096,0,43601,A
9022050043602001,Båtfinnbo,60.039463,16.216301,0,43602,A
9022050043602002,Båtfinnbo,60.039409,16.216247,0,43602,B
9022050043603001,Salängen,60.025374,16.259189,0,43603,A
9022050043603002,Salängen,60.025301,16.259564,0,43603,B
9022050043604001,Alfaskolan,60.009455,15.794053,0,43604,A
9022050043605001,Bragevägen,60.005955,15.800346,0,43605,B
9022050043606001,Lancashiregatan,60.005731,15.804254,0,43606,A
9022050043606002,Lancashiregatan,60.005569,15.804057,0,43606,B
9022050043607001,Per Olsskolan,60.004770,15.819095,0,43607,B
9022050043608001,Hedkärra,59.966195,15.763563,0,43608,A
9022050043608002,Hedkärra,59.966285,15.763366,0,43608,B
9022050043609001,Björkmans väg,59.971257,15.762625,0,43609,A
9022050043610001,Björnbacksvägen,59.974333,15.754832,0,43610,A
9022050043610002,Björnbacksvägen,59.974297,15.754707,0,43610,B
9022050043611001,Hedkärra Gård,59.975523,15.744855,0,43611,A
9022050043611002,Hedkärra Gård,59.975496,15.744730,0,43611,B
9022050043612001,Hedkärra Södra,59.973473,15.737392,0,43612,A
9022050043612002,Hedkärra Södra,59.973688,15.738036,0,43612,B
9022050043613001,Jönsbacken,59.972384,15.733222,0,43613,A
9022050043613002,Jönsbacken,59.972331,15.733742,0,43613,B
9022050043614001,Länsgränsen,59.973336,15.718931,0,43614,A
9022050043614002,Länsgränsen,59.973264,15.718931,0,43614,B
9022050043615001,Risbroplan,59.999771,15.807587,0,43615,A
9022050043616001,Rosenlund,59.966838,15.982679,0,43616,A
9022050043616002,Rosenlund,59.966946,15.982465,0,43616,B
9022050043617001,Mariaskolan,59.991503,15.828657,0,43617,A
9022050043618001,Bergvägen,59.989572,15.832059,0,43618,A
9022050043619001,Hagavägen,59.988576,15.832614,0,43619,A
9022050043619002,Hagavägen,59.989339,15.831038,0,43619,B
9022050043620001,Sundbo,59.983739,15.859693,0,43620,A
9022050043620002,Sundbo,59.983838,15.859676,0,43620,B
9022050043621001,Ombenning Norra,59.981045,15.954688,0,43621,A
9022050043621002,Ombenning Norra,59.981073,15.954240,0,43621,B
9022050043622001,Ombenning Södra,59.980458,15.958142,0,43622,A
9022050043622002,Ombenning Södra,59.980431,15.958250,0,43622,B
9022050043623001,Ennora,59.967991,15.972516,0,43623,A
9022050043623002,Ennora,59.968054,15.972946,0,43623,B
9022050043624001,Rosenlund,59.992194,15.825970,0,43624,A
9022050043625001,Björnhålet,59.964300,16.000764,0,43625,A
9022050043625002,Björnhålet,59.965809,16.005678,0,43625,B
9022050043626001,Engelsbergs Bruk,59.967124,16.009124,0,43626,A
9022050043626002,Engelsbergs Bruk,59.967150,16.009088,0,43626,B
9022050043627001,Sågholmen,59.964494,16.009090,0,43627,A
9022050043627002,Sågholmen,59.964556,16.009233,0,43627,B
9022050043628001,Furuborgsvägen,59.955602,16.012758,0,43628,A
9022050043628002,Furuborgsvägen,59.955323,16.013436,0,43628,B
9022050043629001,Västervåla K:a,59.940437,16.026760,0,43629,A
9022050043629002,Västervåla K:a,59.940599,16.026868,0,43629,B
9022050043630001,Västervåla,59.932853,16.031753,0,43630,A
9022050043630002,Västervåla,59.932772,16.031949,0,43630,B
9022050043631001,Sörby,59.929695,16.030981,0,43631,A
9022050043631002,Sörby,59.929713,16.031124,0,43631,B
9022050043632001,Bondfallet,59.925833,16.032332,0,43632,A
9022050043632002,Bondfallet,59.925815,16.032439,0,43632,B
9022050043633001,Halvarsviken,59.920977,16.032799,0,43633,A
9022050043633002,Halvarsviken,59.921102,16.033068,0,43633,B
9022050043634001,Skommarbo,59.910121,16.040428,0,43634,A
9022050043634002,Skommarbo,59.910120,16.040732,0,43634,B
9022050043635001,Sturevägen,60.007113,15.792853,0,43635,A
9022050043636001,Bastmora,59.921985,15.833634,0,43636,A
9022050043637001,Barktorp,59.926357,15.829328,0,43637,A
9022050043637002,Barktorp,59.926743,15.829346,0,43637,B
9022050043638001,Hjortbo,59.936896,15.818263,0,43638,A
9022050043638002,Hjortbo,59.937004,15.818442,0,43638,B
9022050043639001,Flyten,59.940523,15.806834,0,43639,A
9022050043639002,Flyten,59.940918,15.806422,0,43639,B
9022050043640001,Dalavägen,60.009302,15.790002,0,43640,A
9022050043641001,Kolmilegränd,60.011160,15.790969,0,43641,A
9022050043642001,Hantverksvägen,60.013942,15.788512,0,43642,A
9022050043643001,Stövargränd,60.013772,15.790520,0,43643,B
9022050043644001,Forsbackavägen,60.012264,15.791865,0,43644,B
9022050043645001,Polishuset,60.004241,15.798608,0,43645,A
9022050043645002,Polishuset,60.003514,15.798662,0,43645,B
9022050043646001,Ringvägen,60.001108,15.811297,0,43646,A
9022050043646002,Ringvägen,60.000902,15.811315,0,43646,B
9022050043647001,Martingatan,60.005623,15.809434,0,43647,A
9022050043647002,Martingatan,60.005551,15.809201,0,43647,B
9022050043648001,Smidesvägen,60.004429,15.809631,0,43648,A
9022050043648002,Smidesvägen,60.004178,15.809254,0,43648,B
9022050043649001,Risbrokyrkan,60.002230,15.809147,0,43649,A
9022050043649002,Risbrokyrkan,60.002087,15.809129,0,43649,B
9022050043650001,Norrbyvägen,59.998308,15.814325,0,43650,A
9022050043650002,Norrbyvägen,59.998308,15.814074,0,43650,B
9022050043651001,Hästhovsvägen,59.997141,15.813232,0,43651,A
9022050043651002,Hästhovsvägen,59.997231,15.813142,0,43651,B
9022050043652001,Kolargränd,60.010461,15.796186,0,43652,B
9022050043653001,Knutsvägen,59.990560,15.827438,0,43653,A
9022050043653002,Knutsvägen,59.990731,15.827259,0,43653,B
9022050043654001,Solliden,59.987878,15.812621,0,43654,A
9022050043654002,Solliden,59.987753,15.812746,0,43654,B
9022050043655001,Västanfors Kyrka,59.987555,15.808841,0,43655,A
9022050043655002,Västanfors Kyrka,59.987501,15.808733,0,43655,B
9022050043656001,Lindgården,59.990437,15.806458,0,43656,A
9022050043656002,Lindgården,59.990571,15.806046,0,43656,B
9022050043657001,Kyrkvägen,59.992779,15.806046,0,43657,A
9022050043657002,Kyrkvägen,59.992645,15.805885,0,43657,B
9022050043658001,Aspatorp,59.974961,15.823399,0,43658,A
9022050043658002,Aspatorp,59.974270,15.824509,0,43658,B
9022050043659001,Mossbo,59.968184,15.827710,0,43659,A
9022050043659002,Mossbo,59.968265,15.827907,0,43659,B
9022050043660001,Övre Gatgården,59.964737,15.832720,0,43660,A
9022050043660002,Övre Gatgården,59.964737,15.832792,0,43660,B
9022050043661001,Blinkbovägen,59.961944,15.837157,0,43661,A
9022050043661002,Blinkbovägen,59.962528,15.836603,0,43661,B
9022050043662001,Åvestbo,59.957662,15.838854,0,43662,A
9022050043662002,Åvestbo,59.957644,15.839122,0,43662,B
9022050043663001,Vilhelminaparken,60.004734,15.795202,0,43663,A
9022050043663002,Vilhelminaparken,60.004492,15.793822,0,43663,B
9022050043664001,Middagsberget,59.955923,15.829402,0,43664,A
9022050043664002,Middagsberget,59.955735,15.829778,0,43664,B
9022050043665001,Sågverket,59.953735,15.811898,0,43665,A
9022050043665002,Sågverket,59.953502,15.811612,0,43665,B
9022050043666001,Oppgårdsvägen,59.956442,15.838334,0,43666,A
9022050043666002,Oppgårdsvägen,59.956361,15.838477,0,43666,B
9022050043667001,Smittsbo,59.950899,15.805796,0,43667,A
9022050043667002,Smittsbo,59.950800,15.805832,0,43667,B
9022050043668001,Tägtbyvägen,59.932228,15.826041,0,43668,A
9022050043668002,Tägtbyvägen,59.931905,15.826524,0,43668,B
9022050043669001,Myrbovägen,60.006969,15.795901,0,43669,B
9022050043670001,Södra Porten,59.996028,15.807784,0,43670,A
9022050043670002,Södra Porten,59.995678,15.807605,0,43670,B
9022050043671001,Mellangatan,59.564387,16.242139,0,43671,A
9022050043671002,Mellangatan,59.564559,16.241787,0,43671,B
9022050043672001,Kyrkvägen,59.560800,16.224582,0,43672,A
9022050043672002,Kyrkvägen,59.561529,16.226643,0,43672,B
9022050043673001,Vänstavägen,59.558839,16.220065,0,43673,A
9022050043673002,Vänstavägen,59.558856,16.220614,0,43673,B
9022050043675001,Viby,59.553680,16.198958,0,43675,A
