agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_fare_url
505000000000000732,ITAB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000733,Östgötatrafiken,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000734,SNÄLL,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000735,JLT,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000736,TJF,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000737,Mälartåg,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000738,Vy Tåg,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000739,SNÄLL,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000740,Östgötatrafiken,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000741,JLT,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000742,TJF,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000743,Mälartåg,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000744,Vy Tåg,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000745,ITAB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000746,Öresundståg,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000747,MTRX,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000748,Pågatåg,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000749,Blå Tåget,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000750,Östgötapendeln,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000751,Museijärnvägar,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000752,MTRX,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000753,ATRAIN,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000754,Skånetrafiken,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000755,DK,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000756,Västtrafik,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000757,SL Pendeltåg,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000758,X-Trafik,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000759,Krösatågen,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000760,Värmlandstrafik,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000761,SJ,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000762,TÅGAB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000763,Järnvägsföretag Museijärnväg,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000764,Tåg i Bergslagen,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000765,Krösatåg KLT,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000766,Norrtåg,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000767,Vy Tåg AB,https://www.resrobot.se/,Europe/Stockholm,sv,
505000000000000768,LT X-trafik,https://www.resrobot.se/,Europe/Stockholm,sv,
